Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
MF.000392,L,31/07/1984,20000000,24,M,16,KONVEN
MF.000404,P,07/06/1985,20000000,24,M,18,KONVEN
MF.000276,P,23/09/1986,50000000,36,M,17,KONVEN
MF.000356,L,31/12/1983,51000000,36,M,26,KONVEN
MF.000369,P,29/08/1987,51000000,36,M,23,KONVEN
MF.000409,L,29/05/1974,100000000,24,M,14,KONVEN
MF.000350,P,11/03/1977,64000000,40,PK,33,KONVEN
MF.000133,L,30/08/1976,26900000,41,L,29,KONVEN
MF.000354,L,12/05/1988,34300000,36,PK,27,KONVEN
MF.000260,P,06/12/1990,37000000,36,L,16,KONVEN
MF.000444,P,25/06/1983,25500000,26,L,17,KONVEN
MF.000335,L,15/06/1964,14700000,24,L,15,KONVEN
MF.000230,L,14/12/1985,13700000,36,PK,13,KONVEN
MF.000278,L,15/08/1975,234000000,60,PK,13,KONVEN
MF.000330,P,15/06/1993,226000000,60,PK,13,KONVEN
MF.000294,L,30/12/1992,163000000,60,L,13,KONVEN
MF.000288,P,03/05/1972,124000000,60,L,13,KONVEN
MF.000248,L,11/09/1986,67000000,60,L,12,KONVEN
MF.000289,P,18/02/1965,33900000,25,PK,10,KONVEN
MF.000340,L,10/06/1991,26800000,24,L,12,KONVEN
MF.000201,L,09/08/1983,29000000,30,PK,9,KONVEN
MF.000084,P,04/04/1980,55000000,60,L,10,KONVEN
MF.000311,P,16/06/1993,22500000,55,PK,9,KONVEN
MF.000357,P,15/07/1987,118000000,60,L,11,KONVEN
MF.000373,P,30/03/1979,30000000,48,L,10,KONVEN
MF.000324,L,12/10/1975,82500000,30,L,10,KONVEN
MF.000264,L,20/08/1964,167000000,60,L,10,KONVEN
MF.000415,L,31/12/1976,4000000,9,D,5,KONVEN
MF.000243,L,01/01/1970,21500000,50,L,8,KONVEN
MF.000423,L,15/03/1978,36000000,17,L,7,KONVEN
MF.000150,L,01/01/1967,81500000,54,L,7,KONVEN
MF.000360,L,07/12/1980,70000000,60,L,7,KONVEN
MF.000419,P,07/11/1969,99000000,34,L,6,KONVEN
MF.000003,P,09/05/1962,444000000,45,L,6,KONVEN
MF.000428,L,05/02/1965,34500000,24,L,6,KONVEN
MF.000453,L,13/03/1984,111000000,43,L,6,KONVEN
MF.000457,L,28/03/1981,40700000,31,L,6,KONVEN
MF.000431,L,12/10/1987,19200000,12,L,6,KONVEN
MF.000435,P,05/07/1978,30000000,12,L,6,KONVEN
MF.000397,P,21/10/1982,45600000,13,L,6,KONVEN
MF.000458,P,27/03/1965,133500000,58,L,6,KONVEN
MF.000417,L,11/08/1982,29700000,34,L,6,KONVEN
MF.000454,P,11/11/1990,27200000,27,PK,4,KONVEN
MF.000422,P,25/01/1968,7000000,10,L,6,KONVEN
MF.000328,P,17/09/1972,22000000,50,PK,2,KONVEN
MF.000433,L,08/09/1993,29000000,21,L,5,KONVEN
MF.000438,P,11/02/1980,39500000,29,PK,2,KONVEN
MF.000334,P,12/02/1991,78000000,29,L,5,KONVEN
MF.000283,P,22/08/1983,58000000,28,L,5,KONVEN
MF.000413,P,02/07/1972,72000000,30,L,5,KONVEN
MF.000388,P,04/02/1992,16000000,16,L,5,KONVEN
MF.000448,P,14/12/1993,38900000,28,L,5,KONVEN
MF.000452,L,19/01/1991,30500000,30,L,4,KONVEN
MF.000451,P,31/12/1989,27500000,31,PK,1,KONVEN
MF.000337,L,13/02/1978,45000000,36,L,3,KONVEN
MF.000309,L,28/10/1991,46300000,60,PK,1,KONVEN
MF.000011,P,17/04/1979,19800000,50,L,2,KONVEN
MF.000316,P,31/12/1961,122400000,60,L,3,KONVEN
MF.000219,P,26/11/1968,22500000,22,L,2,KONVEN
MF.000436,P,11/11/1988,24400000,21,L,2,KONVEN
MF.000430,L,12/12/1979,18800000,19,L,1,KONVEN
MF.000446,P,31/12/1983,20800000,24,L,1,KONVEN
MF.000295,P,14/08/1990,95600000,60,L,1,KONVEN
KG.000405,P,20/06/1984,20000000,24,M,17,KONVEN
KG.000832,P,17/06/1976,25000000,24,PK,20,KONVEN
KG.000852,P,21/06/1986,25000000,24,PK,19,KONVEN
KG.000796,L,10/01/1968,50000000,36,M,18,KONVEN
KG.000663,L,06/10/1968,51000000,36,M,33,KONVEN
KG.000579,L,10/10/1968,60000000,36,M,15,KONVEN
KG.000736,L,10/11/1978,51000000,36,M,34,KONVEN
KG.000742,L,11/12/1995,51000000,36,PK,29,KONVEN
KG.000764,P,24/08/1973,90000000,36,PK,28,KONVEN
KG.000767,L,07/07/1967,51000000,36,M,26,KONVEN
KG.000772,L,01/01/1983,51000000,36,M,16,KONVEN
KG.000785,P,01/01/1991,51000000,36,M,21,KONVEN
KG.000835,L,20/10/1973,60000000,36,PK,21,KONVEN
KG.000864,L,27/02/1991,80000000,36,M,11,KONVEN
KG.000549,P,07/05/1973,55000000,30,M,10,KONVEN
KG.000903,L,03/04/1987,60000000,36,M,9,KONVEN
KG.000904,L,17/07/1984,51000000,36,M,8,KONVEN
KG.000870,L,05/03/1974,101000000,48,L,48,KONVEN
KG.000897,P,08/06/1968,150000000,48,PK,10,KONVEN
KG.000830,P,15/10/1985,35000000,60,PK,33,KONVEN
KG.000180,L,10/01/1976,39700000,34,PK,27,KONVEN
KG.000851,P,07/02/1984,37300000,30,PK,26,KONVEN
KG.000881,P,17/12/1973,34300000,31,L,29,KONVEN
KG.000412,L,25/12/1966,147900000,38,L,29,KONVEN
KG.000824,P,02/03/1982,37300000,30,L,11,KONVEN
KG.000893,L,24/11/1993,50000000,36,PK,25,KONVEN
KG.000916,L,19/04/1982,59700000,26,L,24,KONVEN
